GENOMIC,GENUS,SPECIES,FIELD_POP ID,GREENHOUSE,VOUCHER SPECIMEN,COLLECTION DATE,PROVENANCE,COUNTRY,STATE_PROVINCE,SPECIFIC LOCALITY,LATITUDE,LONGITUDE,NOTES,MATERIAL,NANODROP CONCENTRATION (ng/uL),NANODROP 260:280 RATIO,PUBLISHED
2528,Solanum,arcanum,LA1708,Cultivated,ARCA 60,,,,,see Tomato Genetics Resource Center,,,, ,,,
2570,Solanum,arcanum,LA1708,Cultivated,ARCA 61,,,,,see Tomato Genetics Resource Center,,,, ,,,
2517,Solanum,arcanum,LA2185,Cultivated,ARCA 7,,,,,see Tomato Genetics Resource Center,,,, ,,,
2532,Solanum,arcanum,LA2185,Cultivated,ARCA 8,,,,,see Tomato Genetics Resource Center,,,, ,,,
2549,Solanum,arcanum,LA2185,Cultivated,ARCA 9,,,,,see Tomato Genetics Resource Center,,,, ,,,
3315,Lycium,arenicola,22-019,,Levin and Miller 22-19,8/9/2022,Africa,South Africa,Free state ,"Along R704, about 15km southeast of Koffiefontein.",-29.4843,25.1293,, ,,,
3316,Lycium,arenicola,22-020,,Levin and Miller 22-20,8/9/2022,Africa,South Africa,Free state ,"Along R704, 12-13km southeast of Koffiefontein.",-29.4703,25.1079,Male plant, ,,,
2553,Lycium,arenicola,05-100,,Miller et al. 05-100,7/25/2005,Africa,South Africa,Free State,"Corneliasruis Farm, Brandforte District. Ca. 40 km NE of Bloemfontein off the N1",-28.979,26.486,No silica; extracted using herbarium sample,,,,
520,Lycium,arenicola,05-119 ,,Miller et al. 05-119 ,7/27/2005,Africa,South Africa,Northern Cape,"N10, between Groblershoop and Upington",-28.442,21.663,male,,,,
"521, 2477",Lycium,arenicola,05-120 ,,Miller et al. 05-120 ,7/27/2005,Africa,South Africa,Northern Cape,"N10, between Groblershoop and Upington",-28.442,21.663,"female
*re-extracted as 2477",,,,
